,index,station id,station name,station latitude,station longitude,path_concat,Origin-Destination
85,324906,3184,Paulus-Hook,40.7141454,-74.0335519,5-Corners-Library_Paulus-Hook,Destination
86,343316,3220,5-Corners-Library,40.73496102000952,-74.05950307846071,5-Corners-Library_Pershing-Field,Origin
87,343316,3210,Pershing-Field,40.742677141,-74.051788633,5-Corners-Library_Pershing-Field,Destination
88,339812,3220,5-Corners-Library,40.73496102000952,-74.05950307846071,5-Corners-Library_Riverview-Park,Origin
89,339812,3196,Riverview-Park,40.7443187,-74.04399090000001,5-Corners-Library_Riverview-Park,Destination
90,334479,3220,5-Corners-Library,40.73496102000952,-74.05950307846071,5-Corners-Library_Sip-Ave,Origin
91,334479,3195,Sip-Ave,40.73089709786179,-74.06391263008119,5-Corners-Library_Sip-Ave,Destination
92,264259,3220,5-Corners-Library,40.73496102000952,-74.05950307846071,5-Corners-Library_Union-St,Origin
93,264259,3191,Union-St,40.71821129999999,-74.08363940000001,5-Corners-Library_Union-St,Destination
94,335893,3220,5-Corners-Library,40.73496102000952,-74.05950307846071,5-Corners-Library_Van-Vorst-Park,Origin
95,335893,3213,Van-Vorst-Park,40.71848892,-74.047726625,5-Corners-Library_Van-Vorst-Park,Destination
96,330771,3220,5-Corners-Library,40.73496102000952,-74.05950307846071,5-Corners-Library_Warren-St,Origin
97,330771,3187,Warren-St,40.721123600000006,-74.03805095,5-Corners-Library_Warren-St,Destination
98,300701,3220,5-Corners-Library,40.73496102000952,-74.05950307846071,5-Corners-Library_Washington-St,Origin
99,300701,3638,Washington-St,40.7242941,-74.0354826,5-Corners-Library_Washington-St,Destination
100,303146,3220,5-Corners-Library,40.73496102000952,-74.05950307846071,5-Corners-Library_York-St,Origin
101,303146,3481,York-St,40.71649,-74.04105,5-Corners-Library_York-St,Destination
102,339515,3280,Astor-Place,40.71928220070703,-74.07126188278198,Astor-Place_5-Corners-Library,Origin
103,339515,3220,5-Corners-Library,40.73496102000952,-74.05950307846071,Astor-Place_5-Corners-Library,Destination
104,341384,3280,Astor-Place,40.71928220070703,-74.07126188278198,Astor-Place_Astor-Place,Origin
105,341384,3280,Astor-Place,40.71928220070703,-74.07126188278198,Astor-Place_Astor-Place,Destination
106,338103,3280,Astor-Place,40.71928220070703,-74.07126188278198,Astor-Place_Baldwin-at-Montgomery,Origin
107,338103,3225,Baldwin-at-Montgomery,40.7236589,-74.0641943,Astor-Place_Baldwin-at-Montgomery,Destination
108,342035,3280,Astor-Place,40.71928220070703,-74.07126188278198,Astor-Place_Bergen-Ave,Origin
109,342035,3679,Bergen-Ave,40.72210378668603,-74.07145500183104,Astor-Place_Bergen-Ave,Destination
110,334740,3280,Astor-Place,40.71928220070703,-74.07126188278198,Astor-Place_Brunswick-&-6th,Origin
111,334740,3269,Brunswick-&-6th,40.726011729646245,-74.0503889322281,Astor-Place_Brunswick-&-6th,Destination
112,327431,3280,Astor-Place,40.71928220070703,-74.07126188278198,Astor-Place_Brunswick-St,Origin
113,327431,3209,Brunswick-St,40.7241765,-74.05065640000001,Astor-Place_Brunswick-St,Destination
114,52793,3280,Astor-Place,40.71928220070703,-74.07126188278198,Astor-Place_Christ-Hospital,Origin
115,52793,3212,Christ-Hospital,40.734785818,-74.050443636,Astor-Place_Christ-Hospital,Destination
116,339993,3280,Astor-Place,40.71928220070703,-74.07126188278198,Astor-Place_City-Hall,Origin
117,339993,3185,City-Hall,40.717732500000004,-74.04384499999999,Astor-Place_City-Hall,Destination
118,342106,3280,Astor-Place,40.71928220070703,-74.07126188278198,Astor-Place_Columbus-Dr-at-Exchange-Pl,Origin
119,342106,3792,Columbus-Dr-at-Exchange-Pl,40.71687,-74.03281,Astor-Place_Columbus-Dr-at-Exchange-Pl,Destination
120,332732,3280,Astor-Place,40.71928220070703,-74.07126188278198,Astor-Place_Columbus-Drive,Origin
121,332732,3275,Columbus-Drive,40.71835519823214,-74.03891444206238,Astor-Place_Columbus-Drive,Destination
122,341929,3280,Astor-Place,40.71928220070703,-74.07126188278198,Astor-Place_Communipaw-&-Berry-Lane,Origin
123,341929,3277,Communipaw-&-Berry-Lane,40.71435836870427,-74.06661093235016,Astor-Place_Communipaw-&-Berry-Lane,Destination
124,279158,3280,Astor-Place,40.71928220070703,-74.07126188278198,Astor-Place_Dey-St,Origin
125,279158,3201,Dey-St,40.737711,-74.066921,Astor-Place_Dey-St,Destination
126,336545,3280,Astor-Place,40.71928220070703,-74.07126188278198,Astor-Place_Dixon-Mills,Origin
127,336545,3279,Dixon-Mills,40.72163014263835,-74.04996782541275,Astor-Place_Dixon-Mills,Destination
128,181409,3280,Astor-Place,40.71928220070703,-74.07126188278198,Astor-Place_Essex-Light-Rail,Origin
129,181409,3214,Essex-Light-Rail,40.712774200000005,-74.03648570000001,Astor-Place_Essex-Light-Rail,Destination
130,343783,3280,Astor-Place,40.71928220070703,-74.07126188278198,Astor-Place_Fairmount-Ave,Origin
131,343783,3678,Fairmount-Ave,40.72572613742557,-74.07195925712584,Astor-Place_Fairmount-Ave,Destination
132,338383,3280,Astor-Place,40.71928220070703,-74.07126188278198,Astor-Place_Glenwood-Ave,Origin
133,338383,3677,Glenwood-Ave,40.72755146730012,-74.07106071710588,Astor-Place_Glenwood-Ave,Destination
134,341886,3280,Astor-Place,40.71928220070703,-74.07126188278198,Astor-Place_Grand-St,Origin
135,341886,3681,Grand-St,40.71517767732029,-74.03768330812454,Astor-Place_Grand-St,Destination
136,344181,3280,Astor-Place,40.71928220070703,-74.07126188278198,Astor-Place_Grove-St-PATH,Origin
137,344181,3186,Grove-St-PATH,40.71958611647166,-74.0431174635887,Astor-Place_Grove-St-PATH,Destination
138,325343,3280,Astor-Place,40.71928220070703,-74.07126188278198,Astor-Place_Hamilton-Park,Origin
139,325343,3203,Hamilton-Park,40.727595965999996,-74.044247311,Astor-Place_Hamilton-Park,Destination
140,289677,3280,Astor-Place,40.71928220070703,-74.07126188278198,Astor-Place_Harborside,Origin
141,289677,3639,Harborside,40.71925170000001,-74.034234,Astor-Place_Harborside,Destination
142,317823,3280,Astor-Place,40.71928220070703,-74.07126188278198,Astor-Place_Heights-Elevator,Origin
143,317823,3198,Heights-Elevator,40.748715945380226,-74.04044330120088,Astor-Place_Heights-Elevator,Destination
144,312034,3280,Astor-Place,40.71928220070703,-74.07126188278198,Astor-Place_Hilltop,Origin
145,312034,3206,Hilltop,40.7311689,-74.0575736,Astor-Place_Hilltop,Destination
146,166347,3280,Astor-Place,40.71928220070703,-74.07126188278198,Astor-Place_Hoboken-Ave-at-Monmouth-St,Origin
147,166347,3791,Hoboken-Ave-at-Monmouth-St,40.73520838045357,-74.04696375131606,Astor-Place_Hoboken-Ave-at-Monmouth-St,Destination
148,337339,3280,Astor-Place,40.71928220070703,-74.07126188278198,Astor-Place_JC-Medical-Center,Origin
149,337339,3205,JC-Medical-Center,40.71653978099194,-74.0496379137039,Astor-Place_JC-Medical-Center,Destination
150,343743,3280,Astor-Place,40.71928220070703,-74.07126188278198,Astor-Place_Jackson-Square,Origin
151,343743,3694,Jackson-Square,40.71113,-74.0789,Astor-Place_Jackson-Square,Destination
152,343949,3280,Astor-Place,40.71928220070703,-74.07126188278198,Astor-Place_Jersey-&-3rd,Origin
153,343949,3272,Jersey-&-3rd,40.723331586464354,-74.04595255851744,Astor-Place_Jersey-&-3rd,Destination
154,331234,3280,Astor-Place,40.71928220070703,-74.07126188278198,Astor-Place_Jersey-&-6th-St,Origin
155,331234,3270,Jersey-&-6th-St,40.72528910781132,-74.04557168483734,Astor-Place_Jersey-&-6th-St,Destination
156,341211,3280,Astor-Place,40.71928220070703,-74.07126188278198,Astor-Place_Journal-Square,Origin
157,341211,3640,Journal-Square,40.733670000000004,-74.0625,Astor-Place_Journal-Square,Destination
158,337636,3280,Astor-Place,40.71928220070703,-74.07126188278198,Astor-Place_Lafayette-Park,Origin
159,337636,3268,Lafayette-Park,40.71346382669195,-74.06285852193831,Astor-Place_Lafayette-Park,Destination
160,299582,3280,Astor-Place,40.71928220070703,-74.07126188278198,Astor-Place_Leonard-Gordon-Park,Origin
161,299582,3281,Leonard-Gordon-Park,40.74590996631558,-74.05727148056029,Astor-Place_Leonard-Gordon-Park,Destination
162,329888,3280,Astor-Place,40.71928220070703,-74.07126188278198,Astor-Place_Liberty-Light-Rail,Origin
163,329888,3192,Liberty-Light-Rail,40.711242299999995,-74.0557013,Astor-Place_Liberty-Light-Rail,Destination
164,344107,3280,Astor-Place,40.71928220070703,-74.07126188278198,Astor-Place_Lincoln-Park,Origin
165,344107,3193,Lincoln-Park,40.7246050998869,-74.07840594649316,Astor-Place_Lincoln-Park,Destination
166,333328,3280,Astor-Place,40.71928220070703,-74.07126188278198,Astor-Place_Manila-&-1st,Origin
167,333328,3273,Manila-&-1st,40.72165072487999,-74.04288411140442,Astor-Place_Manila-&-1st,Destination
168,343673,3280,Astor-Place,40.71928220070703,-74.07126188278198,Astor-Place_Marin-Light-Rail,Origin
169,343673,3276,Marin-Light-Rail,40.71458403535893,-74.04281705617905,Astor-Place_Marin-Light-Rail,Destination
170,341242,3280,Astor-Place,40.71928220070703,-74.07126188278198,Astor-Place_McGinley-Square,Origin
171,341242,3194,McGinley-Square,40.7253399253558,-74.06762212514876,Astor-Place_McGinley-Square,Destination
172,330989,3280,Astor-Place,40.71928220070703,-74.07126188278198,Astor-Place_Monmouth-and-6th,Origin
173,330989,3278,Monmouth-and-6th,40.72568548362901,-74.0487903356552,Astor-Place_Monmouth-and-6th,Destination
174,343998,3280,Astor-Place,40.71928220070703,-74.07126188278198,Astor-Place_Montgomery-St,Origin
175,343998,3483,Montgomery-St,40.71942,-74.05099,Astor-Place_Montgomery-St,Destination
176,340247,3280,Astor-Place,40.71928220070703,-74.07126188278198,Astor-Place_Morris-Canal,Origin
177,340247,3267,Morris-Canal,40.7124188237569,-74.03852552175522,Astor-Place_Morris-Canal,Destination
178,344046,3280,Astor-Place,40.71928220070703,-74.07126188278198,Astor-Place_Newark-Ave,Origin
179,344046,3211,Newark-Ave,40.72152515,-74.046304543,Astor-Place_Newark-Ave,Destination
180,299531,3280,Astor-Place,40.71928220070703,-74.07126188278198,Astor-Place_Newport-PATH,Origin
181,299531,3202,Newport-PATH,40.7272235,-74.03375890000001,Astor-Place_Newport-PATH,Destination
182,254959,3280,Astor-Place,40.71928220070703,-74.07126188278198,Astor-Place_Newport-Pkwy,Origin
183,254959,3199,Newport-Pkwy,40.728744799999994,-74.03210820000001,Astor-Place_Newport-Pkwy,Destination
184,289473,3280,Astor-Place,40.71928220070703,-74.07126188278198,Astor-Place_Oakland-Ave,Origin
185,289473,3207,Oakland-Ave,40.7376037,-74.05247829999999,Astor-Place_Oakland-Ave,Destination
